StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_09-25-48.881028828,1526455548.883647737,16904376285,2018-05-16_09-26-18.936577346,1526455578.939660536,0.89,0.86,0.81,40507359876,40631268318336,264820363,136874154,138318404,139624518,95804,8,1035841,17824233,1865,0,185944,21576,0,0,7707080,7110504,7024632,2108,158644
2018-05-16_09-26-18.987849264,1526455578.990708823,22318687730,2018-05-16_09-26-49.038565532,1526455609.041817838,0.93,0.87,0.82,40592009082,40715444353182,265117664,136874154,139561511,139624518,95834,8,1037591,17833265,1865,0,186148,21576,0,0,7707080,7110264,7024196,2108,158644
2018-05-16_09-26-49.088341460,1526455609.091012369,22304988352,2018-05-16_09-27-19.137775993,1526455639.140411094,0.80,0.85,0.82,40676692968,40799568860506,265416143,136874154,139561511,140866623,95864,8,1039111,17842341,1865,0,186272,21576,0,0,7707080,7110772,7024704,2108,158644
2018-05-16_09-27-19.186076643,1526455639.189004250,15315870143,2018-05-16_09-27-49.236243080,1526455669.238927572,0.93,0.88,0.83,40775396454,40857335180298,266888805,136874154,139561511,140866623,95893,8,1041102,17851367,1865,0,187243,21576,0,0,7707080,7110616,7024352,2108,158644
2018-05-16_09-27-49.286438260,1526455669.289049898,22510580678,2018-05-16_09-28-19.345030172,1526455699.348033758,0.91,0.88,0.83,40884386100,40942234790740,267190244,138229875,139561511,140866623,95920,8,1043013,17860150,1865,0,187494,21577,0,0,7707080,7110552,7024368,2108,158644
2018-05-16_09-28-19.406491555,1526455699.409182138,22427075360,2018-05-16_09-28-49.459021246,1526455729.461802638,0.81,0.86,0.82,40970565126,41026819987730,267488258,138229875,139561511,142137783,95947,8,1044674,17869206,1865,0,187694,21577,0,0,7707080,7111180,7025012,2108,158644
2018-05-16_09-28-49.515162354,1526455729.517839627,22352391804,2018-05-16_09-29-19.569728694,1526455759.572921747,0.88,0.87,0.83,41080147332,41111123251770,267789141,138229875,140898534,142137783,95992,8,1046622,17878006,1865,0,187941,21578,0,0,7707080,7110412,7024344,2108,158644
2018-05-16_09-29-19.620010694,1526455759.622784409,22315786107,2018-05-16_09-29-49.671154396,1526455789.673948373,0.88,0.87,0.83,41181413418,41195287310194,268089237,139398867,140898534,142137785,96025,8,1048445,17886901,1865,0,188167,21578,0,0,7707080,7097844,7011976,2108,158656
2018-05-16_09-29-49.724076455,1526455789.726753417,15283384808,2018-05-16_09-30-19.781155661,1526455819.783867090,1.04,0.91,0.85,41276450124,41252949384224,269632594,139398867,140898539,142137788,96065,8,1050371,17895915,1865,0,189205,21578,0,0,7707080,7097408,7011508,2108,158656
2018-05-16_09-30-19.831081083,1526455819.833734542,22304362822,2018-05-16_09-30-49.883597824,1526455849.886278360,1.09,0.94,0.86,41420596710,41337069662414,269930258,139398867,142381499,142137792,96100,8,1052347,17904556,1865,0,189483,21578,0,0,7707080,7097408,7011360,2108,158656
2018-05-16_09-30-49.936145850,1526455849.938710544,22346064941,2018-05-16_09-31-19.987197271,1526455879.993833428,1.06,0.94,0.86,41567820276,41421347213730,270229916,139398867,142381512,143661725,96134,8,1054333,17913166,1865,0,189747,21578,0,0,7707080,7097808,7011764,2108,158660
2018-05-16_09-31-20.047112723,1526455880.049749265,15780814353,2018-05-16_09-31-50.106256475,1526455910.108975661,1.03,0.95,0.87,41669440062,41480880322240,271595833,139398867,142381519,143661727,96157,8,1056327,17922199,1865,0,190721,21579,0,0,7707080,7098076,7012032,2108,158660
2018-05-16_09-31-50.178567802,1526455910.181179737,22290411800,2018-05-16_09-32-20.232988808,1526455940.235756968,0.88,0.92,0.86,41815503828,41564951197870,271895909,140905815,142381531,143661727,96190,8,1058394,17930713,1865,0,190977,21580,0,0,7707080,7097804,7011964,2108,158664
2018-05-16_09-32-20.291332698,1526455940.294130420,22182094250,2018-05-16_09-32-50.342794280,1526455970.345552834,0.87,0.91,0.86,41959688514,41648611304958,272193287,140905816,142381538,145143227,96217,8,1060356,17939361,1865,0,191249,21580,0,0,7707080,7110116,7024276,2108,158660
2018-05-16_09-32-50.394623159,1526455970.397156068,22337027885,2018-05-16_09-33-20.442735815,1526456000.445586224,0.92,0.92,0.86,42073844880,41732857476512,272492475,140905816,143960626,145143227,96243,8,1062249,17948096,1865,0,191515,21581,0,0,7707080,7110804,7024768,2108,158660
2018-05-16_09-33-20.496111470,1526456000.498835969,22341422251,2018-05-16_09-33-50.548445455,1526456030.551151834,0.95,0.93,0.87,42221565066,41817119601792,272791505,142419490,143960626,145143227,96292,8,1064292,17956633,1865,0,191778,21581,0,0,7707080,7110396,7024088,2108,158664
2018-05-16_09-33-50.601239537,1526456030.603889168,15788523725,2018-05-16_09-34-20.653270760,1526456060.656200401,0.97,0.94,0.87,42319224192,41876668668024,274223135,142419490,143960626,145143227,96315,8,1066221,17965659,1865,0,192818,21581,0,0,7707080,7110540,7024860,2108,158664
2018-05-16_09-34-20.712613308,1526456060.715243994,16439111572,2018-05-16_09-34-50.766127553,1526456090.768809018,0.79,0.89,0.86,42342594078,41938671419916,274344740,142419490,144512196,145143227,96333,8,1067304,17976011,1865,0,192864,21582,0,0,7707080,7110644,7024620,2108,158664
2018-05-16_09-34-50.847226323,1526456090.849932552,16444839363,2018-05-16_09-35-20.898534056,1526456120.901380643,0.70,0.86,0.85,42366035424,42000695797324,274469230,142419490,144512196,145691625,96354,8,1068391,17986354,1865,0,192905,21582,0,0,7707080,7110676,7024616,2108,158664
2018-05-16_09-35-20.954648388,1526456120.957304543,16472916269,2018-05-16_09-35-51.005634548,1526456151.008458090,0.48,0.79,0.83,42389605590,42062826427358,275085915,142419490,144512196,145691625,96372,8,1069459,17996707,1865,0,193119,21583,0,0,7707080,7110472,7024292,2108,158664
2018-05-16_09-35-51.058104352,1526456151.060740372,16383476265,2018-05-16_09-36-21.105303092,1526456181.108516038,0.43,0.75,0.81,42413766936,42124619724552,275212976,142968270,144512196,145691625,96389,8,1070489,18007014,1865,0,193166,21584,0,0,7707080,7110496,7024680,2108,158664
2018-05-16_09-36-21.157340487,1526456181.160234656,16439814573,2018-05-16_09-36-51.207104863,1526456211.209873299,0.52,0.74,0.81,42437197062,42186625027778,275337359,142968270,144512196,146244904,96408,8,1071574,18017380,1865,0,193208,21584,0,0,7707080,7111168,7024848,2108,158664
2018-05-16_09-36-51.255808312,1526456211.258416300,16392694706,2018-05-16_09-37-21.312971787,1526456241.315816919,0.49,0.72,0.80,42461245728,42248454367138,275463549,142968270,145070757,146244904,96426,8,1072632,18027721,1865,0,193253,21585,0,0,7707080,7110040,7024016,2108,158664
2018-05-16_09-37-21.376747373,1526456241.379561310,16400993494,2018-05-16_09-37-51.430172166,1526456271.433263775,0.50,0.70,0.79,42484689174,42310314878400,275586550,143511097,145070765,146244904,96467,8,1073767,18038006,1865,0,193319,21586,0,0,7707080,7098160,7012344,2108,158676
2018-05-16_09-37-51.482531223,1526456271.485354055,16415761940,2018-05-16_09-38-21.543768889,1526456301.547250559,0.56,0.69,0.78,42508354080,42372230212250,276203514,143511099,145070769,146244904,96492,8,1074918,18048330,1865,0,193497,21586,0,0,7707080,7098120,7011808,2108,158676
2018-05-16_09-38-21.601878013,1526456301.604836754,22323364724,2018-05-16_09-38-51.653061925,1526456331.655891180,0.66,0.71,0.78,42614592066,42456422499362,276504600,143511099,146436053,146244912,96533,8,1076809,18057152,1865,0,193749,21587,0,0,7707080,7097172,7011144,2108,158680
2018-05-16_09-38-51.703854694,1526456331.706465717,22474168040,2018-05-16_09-39-21.751269980,1526456361.754122155,0.84,0.74,0.79,42720530952,42541182918552,276806961,143511103,146436069,147608568,96570,8,1078571,18066048,1865,0,193965,21587,0,0,7707080,7097744,7011668,2108,158680
2018-05-16_09-39-21.800675860,1526456361.803368697,15475575619,2018-05-16_09-39-51.858968278,1526456391.861672897,0.90,0.76,0.79,42821463858,42599568701302,278267299,143511106,146436076,147608568,96594,8,1080546,18075075,1865,0,194957,21587,0,0,7707080,7097552,7011528,2108,158684
2018-05-16_09-39-51.908671836,1526456391.911235176,22231080239,2018-05-16_09-40-21.959314676,1526456421.962182936,0.82,0.75,0.79,42923666004,42683412308268,278565834,144683842,146436085,147608576,96634,8,1082426,18083926,1865,0,195178,21588,0,0,7707080,7097788,7011684,2108,158692
2018-05-16_09-40-22.015186362,1526456422.019061595,22235579958,2018-05-16_09-40-52.074200972,1526456452.077628625,0.75,0.74,0.78,43010635770,42767276852018,278861896,144683842,146436093,148881402,96671,8,1084151,18092964,1865,0,195379,21588,0,0,7707080,7110564,7024696,2108,158684
2018-05-16_09-40-52.132572156,1526456452.135831689,22204453190,2018-05-16_09-41-22.185460302,1526456482.188818032,0.71,0.74,0.78,43098535236,42851020390354,279157850,144683842,147715391,148881402,96697,8,1085893,18101976,1865,0,195605,21588,0,0,7707080,7110808,7024536,2108,158684
2018-05-16_09-41-22.241702213,1526456482.244534057,22479705232,2018-05-16_09-41-52.291166303,1526456512.294094331,0.68,0.73,0.77,43206916362,42935801356028,279458130,146058755,147715391,148881402,96728,8,1087800,18110773,1865,0,195826,21589,0,0,7707080,7110480,7024408,2108,158684
2018-05-16_09-41-52.342375010,1526456512.345105544,15246664514,2018-05-16_09-42-22.399300540,1526456542.402040757,1.03,0.80,0.80,43304512008,42993316957972,280888449,146058755,147715391,148881402,96755,8,1089771,18119801,1865,0,196821,21589,0,0,7707080,7110340,7024708,2108,158684
