StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_19-51-58.295286542,1526925118.297470949,6311485440,2018-05-21_19-52-28.341164601,1526925148.343424154,0.19,0.25,0.32,8255764224,6551876086374,0,14393447,1951,3258,6,191544,2520111,2251,0,6105,82,0,0,7693836,7707080,7317544,7228628,2108,146696
2018-05-21_19-52-28.380558727,1526925148.382816319,6242716085,2018-05-21_19-52-58.425364751,1526925178.427657842,0.20,0.24,0.32,8289458130,6575310569566,0,14442233,1958,3266,6,192248,2531168,2251,0,6119,82,0,0,7724666,7707080,7317944,7229180,2108,146696
2018-05-21_19-52-58.466068529,1526925178.468349035,5198893116,2018-05-21_19-53-28.510759803,1526925208.512997747,0.25,0.25,0.32,8325377256,6594828564328,0,14483642,1964,3275,6,192893,2542333,2251,0,6134,82,0,0,7751915,7707080,7318116,7229108,2108,146696
2018-05-21_19-53-28.550059214,1526925208.552328088,4886942541,2018-05-21_19-53-58.596885169,1526925238.599127429,0.15,0.23,0.31,8359164942,6613174734758,0,14521988,1969,3283,6,193445,2553572,2251,0,6149,82,0,0,7778373,7707080,7317996,7229280,2108,146696
2018-05-21_19-53-58.636490806,1526925238.638716751,5018680791,2018-05-21_19-54-28.683141974,1526925268.685726718,0.09,0.20,0.30,8392741008,6632015018640,0,14563400,1974,3291,6,193994,2564818,2251,0,6166,83,0,0,7805156,7707080,7318096,7229180,2108,146696
2018-05-21_19-54-28.726749696,1526925268.729160874,4989627026,2018-05-21_19-54-58.773835189,1526925298.776183869,0.06,0.18,0.29,8425908474,6650747079100,0,14605700,1980,3299,6,194570,2576050,2251,0,6182,83,0,0,7831829,7707080,7317924,7229008,2108,146696
2018-05-21_19-54-58.814026248,1526925298.816568280,4948245122,2018-05-21_19-55-28.861805630,1526925328.864231157,0.10,0.18,0.29,8458954800,6669323663816,0,14649599,1985,3305,6,195118,2587314,2251,0,6194,83,0,0,7858388,7707080,7318272,7229356,2108,146696
2018-05-21_19-55-28.904888936,1526925328.907286811,5066590182,2018-05-21_19-55-58.949811771,1526925358.952088829,0.11,0.18,0.28,8492727546,6688341815242,0,14686719,1990,3317,6,195660,2598537,2251,0,6207,83,0,0,7885415,7707080,7316252,7227348,2108,146700
2018-05-21_19-55-58.989307817,1526925358.991519671,4868127341,2018-05-21_19-56-29.032977191,1526925389.035282781,0.07,0.16,0.27,8526445812,6706616895220,0,14728825,1995,3324,6,196195,2609824,2251,0,6223,83,0,0,7911787,7707080,7318148,7229244,2108,146704
2018-05-21_19-56-29.072662358,1526925389.074914655,4940743688,2018-05-21_19-56-59.118475934,1526925419.120856778,0.10,0.16,0.27,8554557378,6725162851472,0,14766260,2000,3330,6,196705,2621123,2251,0,6237,83,0,0,7938215,7707080,7317980,7229468,2108,146704
2018-05-21_19-56-59.159945398,1526925419.162222842,4988629478,2018-05-21_19-57-29.205202888,1526925449.207471562,0.17,0.18,0.27,8589067884,6743888667072,0,14805280,2005,3338,6,197202,2632412,2251,0,6252,83,0,0,7964868,7707080,7317880,7228976,2108,146704
2018-05-21_19-57-29.244597519,1526925449.246790274,5045628161,2018-05-21_19-57-59.289411367,1526925479.291729020,0.15,0.18,0.27,8624058930,6762828629220,0,14845155,2011,3345,6,197761,2643640,2251,0,6265,84,0,0,7991511,7707080,7317780,7229272,2108,146704
2018-05-21_19-57-59.329308064,1526925479.331508533,4894665866,2018-05-21_19-58-29.375580700,1526925509.378074684,0.24,0.19,0.27,8656666416,6781203838406,0,14886965,2016,3352,6,198317,2654893,2251,0,6282,84,0,0,8017853,7707080,7318120,7229216,2108,146704
2018-05-21_19-58-29.419253401,1526925509.421693587,5096619182,2018-05-21_19-58-59.464536461,1526925539.466895128,0.29,0.21,0.27,8690485782,6800335007590,0,14924895,2021,3359,6,198858,2666155,2251,0,6295,84,0,0,8044746,7707080,7318352,7229348,2108,146704
2018-05-21_19-58-59.505906598,1526925539.508170876,5022806821,2018-05-21_19-59-29.551960891,1526925569.554236781,0.18,0.19,0.27,8723956188,6819189811538,0,14964292,2026,3366,6,199405,2677395,2251,0,6310,84,0,0,8071306,7707080,7317556,7228700,2108,146704
2018-05-21_19-59-29.591553551,1526925569.593773937,5075137121,2018-05-21_19-59-59.639940931,1526925599.642186043,0.17,0.18,0.26,8757762354,6838243638966,0,15003404,2031,3373,6,200007,2688540,2251,0,6325,84,0,0,8098188,7707080,7317744,7229184,2108,146704
2018-05-21_19-59-59.679237467,1526925599.681444721,4945391431,2018-05-21_20-00-29.723686559,1526925629.725995281,0.16,0.18,0.26,8792067300,6856808778108,0,15048495,2037,3386,6,200530,2699822,2251,0,6340,84,0,0,8125487,7707080,7317624,7228708,2108,146712
2018-05-21_20-00-29.763256345,1526925629.765492351,4936362630,2018-05-21_20-00-59.813145164,1526925659.815725469,0.23,0.20,0.26,8825521446,6875339145550,0,15088171,2042,3394,6,201052,2711102,2251,0,6354,85,0,0,8152040,7707080,7317640,7229068,2108,146712
2018-05-21_20-00-59.857077884,1526925659.859518169,5004315382,2018-05-21_20-01-29.901740139,1526925689.904050399,0.27,0.21,0.26,8854358292,6894125182740,0,15132637,2047,3404,6,201606,2722373,2251,0,6367,85,0,0,8179273,7707080,7317612,7228900,2108,146712
2018-05-21_20-01-29.944011380,1526925689.946474945,5083574171,2018-05-21_20-01-59.989690946,1526925719.992126799,0.31,0.22,0.26,8890021458,6913207037224,0,15169585,2052,3412,6,202167,2733571,2251,0,6383,85,0,0,8205915,7707080,7318088,7228884,2108,146712
2018-05-21_20-02-00.032365678,1526925720.034809867,5088200311,2018-05-21_20-02-30.077463195,1526925750.079990350,0.35,0.24,0.27,8923822524,6932305336108,0,15205819,2057,3419,6,202684,2744824,2251,0,6396,85,0,0,8232647,7707080,7318032,7229516,2108,146712
2018-05-21_20-02-30.120484919,1526925750.122940622,5025862644,2018-05-21_20-03-00.165028077,1526925780.167420380,0.35,0.25,0.27,8957353530,6951172393966,0,15249543,2062,3425,6,203240,2756082,2251,0,6411,85,0,0,8259478,7707080,7317688,7228976,2108,146712
2018-05-21_20-03-00.206404099,1526925780.208667070,5075776987,2018-05-21_20-03-30.252628802,1526925810.255139694,0.19,0.22,0.26,8984157636,6970225828666,0,15289325,2068,3432,6,203802,2767327,2251,0,6422,86,0,0,8286358,7707080,7318036,7229324,2108,146712
2018-05-21_20-03-30.295301911,1526925810.297694226,5047530689,2018-05-21_20-04-00.342985641,1526925840.345533331,0.12,0.20,0.25,9019053522,6989174390914,0,15327769,2073,3439,6,204334,2778585,2251,0,6435,86,0,0,8313048,7707080,7317464,7228556,2108,146712
2018-05-21_20-04-00.384971822,1526925840.387277919,5005469522,2018-05-21_20-04-30.434846592,1526925870.437395701,0.19,0.21,0.25,9052312908,7007964974438,0,15368148,2078,3451,6,204911,2789792,2251,0,6454,86,0,0,8340044,7707080,7317692,7228708,2108,146724
