StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_21-33-46.515909176,1526931226.517963998,2018-05-21_21-33-46.522429703,1526931226.524428110,1.07,1.11,1.17,18522473426,11772041513988,61693067,47079761,44836984,45870837,37436437,56148099,43833424,41816797,471740,7,960180,71632214,7012,0,279396,0,462750,0,70444081,32804244,28822432,29304884,2116,806408
2018-05-21_21-34-16.577462844,1526931256.579570833,2018-05-21_21-34-16.584019124,1526931256.586039846,0.98,1.08,1.16,18553981336,11791349183862,61737253,47083651,44846885,45870837,37450314,56291351,44294203,41816797,472501,7,962793,71652268,7017,0,279850,0,463506,0,70562914,32804244,28822488,29304964,2116,806408
2018-05-21_21-34-46.638133998,1526931286.640212824,2018-05-21_21-34-46.644600101,1526931286.646529272,0.99,1.08,1.15,3029698002,11810851129096,61901211,47083651,44851997,45870837,38035864,56303797,44305723,41816797,473309,7,965384,71672216,7024,0,280342,0,464310,0,70680061,32804244,28824288,29306936,2116,806412
2018-05-21_21-35-16.697781238,1526931316.699852335,2018-05-21_21-35-16.704261793,1526931316.706214152,0.94,1.05,1.14,18627721188,11829536464276,61957098,47083651,44851997,45870837,38053634,56303797,44305723,42390521,474099,7,967930,71692292,7027,0,280839,0,465085,0,70801814,32804244,28823776,29306500,2116,806412
2018-05-21_21-35-46.757629112,1526931346.759909323,2018-05-21_21-35-46.764731853,1526931346.766872873,0.82,1.01,1.13,18663105770,11848283291618,61990773,47090861,44851997,45870837,38053665,56865949,44322260,42426238,474837,7,970504,71712407,7029,0,281311,0,465818,0,70921490,32804244,28822872,29305236,2116,806412
2018-05-21_21-36-16.821361439,1526931376.823435966,2018-05-21_21-36-16.827913098,1526931376.829870957,1.06,1.05,1.14,18699808176,11867119886046,61998686,47090861,44979687,45870837,38053665,56882139,44891162,42431833,475678,7,973081,71732381,7033,0,281781,0,466656,0,71039245,32804244,28823324,29305508,2116,806412
2018-05-21_21-36-46.882424200,1526931406.884518146,2018-05-21_21-36-46.888942911,1526931406.890931310,1.03,1.04,1.13,18736723318,11886125408726,62019670,47211841,44979687,45870837,38606642,56901040,44908501,42431833,476520,7,975685,71752298,7037,0,282282,0,467493,0,71153723,32804244,28809580,29292604,2116,806420
2018-05-21_21-37-16.944891917,1526931436.947176607,2018-05-21_21-37-16.951727284,1526931436.953750241,1.15,1.07,1.14,18773794684,11905012172390,62024889,47211841,45096775,45870837,38624447,56906022,44908501,43006104,477313,7,978245,71772315,7038,0,282776,0,468283,0,71278939,32804244,28810784,29293252,2116,806420
2018-05-21_21-37-47.007401158,1526931467.009474276,2018-05-21_21-37-47.014052428,1526931467.016051606,1.35,1.13,1.15,18810617858,11923727295412,62024889,47303213,45102114,45870837,38624462,57482318,44908501,43024308,478034,7,980810,71792429,7041,0,283272,0,468997,0,71401767,32804244,28810248,29292644,2116,806424
2018-05-21_21-38-17.069436888,1526931497.071500634,2018-05-21_21-38-17.075952694,1526931497.077982871,1.33,1.15,1.16,18846466824,11942704547452,62115933,47308689,45108357,45870837,38626354,57516217,45470061,43024308,478801,7,983375,71812501,7042,0,283763,0,469760,0,71518711,32804244,28810136,29293168,2116,806424
2018-05-21_21-38-47.130619572,1526931527.132683382,2018-05-21_21-38-47.137365701,1526931527.139423689,1.14,1.12,1.15,18883264974,11962144702070,62251860,47308689,45108357,45870837,39160813,57556915,45488706,43024308,479611,7,985961,71832459,7042,0,284296,0,470564,0,71634601,32804244,28809848,29292348,2116,806428
2018-05-21_21-39-17.191906757,1526931557.194000069,2018-05-21_21-39-17.198498877,1526931557.200417257,1.30,1.16,1.16,18919678868,11981200712996,62334479,47342278,45108357,45870870,39191668,57561233,45510498,43562324,480434,7,988554,71852439,7044,0,284783,0,471380,0,71756124,32804244,28812244,29294896,2116,806428
2018-05-21_21-39-47.252119645,1526931587.254197819,2018-05-21_21-39-47.258699696,1526931587.260650472,1.04,1.11,1.14,18940799578,12000262445672,62334479,47377247,45108357,45908868,39196766,57928485,45551670,43581490,481164,7,991145,71872574,7045,0,285242,0,472106,0,71879835,32804244,28812496,29295240,2116,806428
2018-05-21_21-40-17.314927886,1526931617.317073276,2018-05-21_21-40-17.321948069,1526931617.324063676,1.08,1.11,1.14,18978039840,12019245423322,62334479,47377247,45108357,45936588,39196766,57976254,46137616,43644716,481903,7,993736,71892652,7050,0,285710,0,472840,0,72000383,32804244,28823360,29305880,2116,806440
2018-05-21_21-40-47.377044802,1526931647.379062598,2018-05-21_21-40-47.383483490,1526931647.385364407,1.05,1.10,1.14,19015860710,12038569874286,62399367,47377247,45108357,45988279,39764894,58039101,46158963,43644716,482682,7,996321,71912657,7057,0,286187,0,473614,0,72116978,32804244,28824348,29307136,2116,806440
2018-05-21_21-41-17.437671313,1526931677.439779945,2018-05-21_21-41-17.444182624,1526931677.446177876,1.16,1.12,1.14,19053373868,12057258283346,62409754,47444716,45108357,45988279,39789894,58046600,46158963,44234522,483484,7,998869,71932717,7058,0,286675,0,474413,0,72234611,32804244,28823392,29305640,2116,806440
2018-05-21_21-41-47.497949051,1526931707.500076958,2018-05-21_21-41-47.504581603,1526931707.506579403,1.17,1.13,1.14,19083563570,12075990684638,62477628,47451143,45130412,45988279,39793334,58533371,46158963,44257240,484244,7,1001437,71952804,7061,0,287163,0,475167,0,72356084,32804244,28823504,29306308,2116,806440
2018-05-21_21-42-17.560509472,1526931737.562607274,2018-05-21_21-42-17.567086240,1526931737.569051622,1.11,1.12,1.14,19119848504,12094688739222,62509509,47462175,45130412,45988279,39799686,58593914,46739853,44257240,485005,7,1004016,71972896,7063,0,287631,0,475925,0,72477108,32804244,28823404,29306208,2116,806440
2018-05-21_21-42-47.622795016,1526931767.624842563,2018-05-21_21-42-47.629239826,1526931767.631354369,1.25,1.15,1.15,19158205950,12114108339746,62633213,47465359,45130412,45988279,40363411,58647489,46762342,44257240,485824,7,1006620,71992844,7065,0,288151,0,476740,0,72596007,32804244,28824280,29306452,2116,806440
