StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,bbuser,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_17-01-45.374369080,1526223705.376255104,38.295880,2018-05-13_17-02-15.614891536,1526223735.616761283,1.03,1.01,0.97,207728,240932,1474,482,466,442,0,0,0,0,518947,0,3753,4782557,2418,0,9,0,0,0,32804244,31820280,31701628,2116,156760
2018-05-13_17-02-15.661319474,1526223735.663172703,38.295882,2018-05-13_17-02-45.901439483,1526223765.903405645,1.02,1.01,0.97,208920,242316,1483,482,466,442,0,0,0,0,521970,0,3758,4803755,2418,0,9,0,0,0,32804244,31819816,31702120,2116,156760
2018-05-13_17-02-45.947956023,1526223765.949826273,38.295881,2018-05-13_17-03-16.188155097,1526223796.190016080,1.01,1.01,0.97,210112,243700,1493,482,466,442,0,0,0,0,524994,0,3765,4824951,2418,0,9,0,0,0,32804244,31820516,31702204,2116,156760
2018-05-13_17-03-16.234436728,1526223796.236310367,38.295884,2018-05-13_17-03-46.474690751,1526223826.476559615,1.01,1.01,0.97,211304,245084,1502,482,466,442,0,0,0,0,528018,0,3769,4846149,2418,0,9,0,0,0,32804244,31819920,31702152,2116,156760
2018-05-13_17-03-46.520991404,1526223826.522880860,38.295882,2018-05-13_17-04-16.761638918,1526223856.763507914,1.00,1.01,0.97,212496,246468,1512,482,466,442,0,0,0,0,531043,0,3775,4867346,2418,0,9,0,0,0,32804244,31819804,31701776,2116,156760
2018-05-13_17-04-16.807932832,1526223856.809781730,38.295883,2018-05-13_17-04-47.048491739,1526223887.050371348,0.95,1.00,0.96,213688,247852,1516,503,466,442,0,0,0,0,534068,0,3782,4888540,2418,0,9,0,0,0,32804244,31807248,31689812,2116,156772
2018-05-13_17-04-47.095116026,1526223887.096988442,38.295882,2018-05-13_17-05-17.335895601,1526223917.337762612,0.89,0.98,0.95,214880,249236,1520,523,466,443,0,0,0,0,537095,0,3790,4909731,2418,0,9,0,0,0,32804244,31807408,31689444,2116,156772
2018-05-13_17-05-17.382320345,1526223917.384174683,38.295854,2018-05-13_17-05-47.622665247,1526223947.624561178,0.93,0.98,0.95,216072,250620,1524,544,467,443,0,0,0,0,540119,0,3795,4930929,2418,0,9,0,0,0,32804244,31807452,31689136,2116,156776
2018-05-13_17-05-47.669187997,1526223947.671065781,38.295879,2018-05-13_17-06-17.909904011,1526223977.911789823,0.96,0.99,0.95,217264,252004,1528,564,468,443,0,0,0,0,543145,0,3804,4952121,2418,0,9,0,0,0,32804244,31807656,31689708,2116,156780
2018-05-13_17-06-17.956510707,1526223977.958375265,38.295884,2018-05-13_17-06-48.197490575,1526224008.199407985,0.97,0.99,0.95,218456,253388,1532,564,468,464,0,0,0,0,546171,0,3812,4973314,2418,0,9,0,0,0,32804244,31807708,31689988,2116,156784
2018-05-13_17-06-48.244072121,1526224008.245929237,38.295881,2018-05-13_17-07-18.484712761,1526224038.486614811,0.98,0.99,0.95,219648,254772,1536,564,468,485,0,0,0,0,549196,0,3817,4994510,2418,0,9,0,0,0,32804244,31808036,31689736,2116,156784
2018-05-13_17-07-18.531099671,1526224038.532962685,38.295885,2018-05-13_17-07-48.771439521,1526224068.773493470,0.99,0.99,0.95,220840,256156,1540,564,468,506,0,0,0,0,552221,0,3822,5015707,2418,0,9,0,0,0,32804244,31820968,31702704,2116,156776
2018-05-13_17-07-48.817959565,1526224068.819799802,38.295881,2018-05-13_17-08-19.058275264,1526224099.060141468,0.99,0.99,0.95,222032,257540,1544,564,468,527,0,0,0,0,555244,0,3828,5036903,2418,0,9,0,0,0,32804244,31821144,31703716,2116,156776
2018-05-13_17-08-19.104603924,1526224099.106486196,38.295885,2018-05-13_17-08-49.345043694,1526224129.346918292,1.00,0.99,0.95,223224,258924,1551,564,468,528,0,0,0,0,558268,0,3834,5058101,2418,0,9,0,0,0,32804244,31821552,31702756,2116,156776
2018-05-13_17-08-49.391430259,1526224129.393304368,38.295882,2018-05-13_17-09-19.631606439,1526224159.633494309,1.00,0.99,0.95,224416,260308,1559,564,468,528,0,0,0,0,561292,0,3839,5079297,2418,0,9,0,0,0,32804244,31821236,31703508,2116,156776
2018-05-13_17-09-19.677977164,1526224159.679826423,38.295885,2018-05-13_17-09-49.918341018,1526224189.920217406,1.00,0.99,0.95,225608,261692,1567,564,468,528,0,0,0,0,564316,0,3844,5100495,2418,0,9,0,0,0,32804244,31820992,31702952,2116,156776
2018-05-13_17-09-49.964469840,1526224189.966323314,38.295882,2018-05-13_17-10-20.204870297,1526224220.206716741,1.00,0.99,0.95,226800,263076,1576,564,468,528,0,0,0,0,567341,0,3851,5121689,2418,0,9,0,0,0,32804244,31820820,31703108,2116,156792
2018-05-13_17-10-20.251204351,1526224220.253048168,38.295884,2018-05-13_17-10-50.491836367,1526224250.493705905,1.00,0.99,0.95,227992,264460,1580,564,488,528,0,0,0,0,570365,0,3856,5142887,2418,0,9,0,0,0,32804244,31820796,31703048,2116,156792
2018-05-13_17-10-50.537970333,1526224250.539848879,38.295883,2018-05-13_17-11-20.778276868,1526224280.780139646,1.00,0.99,0.95,229184,265844,1584,564,509,528,0,0,0,0,573390,0,3861,5164083,2418,0,9,0,0,0,32804244,31821112,31702580,2116,156792
2018-05-13_17-11-20.824332126,1526224280.826178373,38.295885,2018-05-13_17-11-51.064449022,1526224311.066323146,1.00,0.99,0.95,230376,267228,1588,564,530,528,0,0,0,0,576414,0,3866,5185281,2418,0,9,0,0,0,32804244,31820612,31702640,2116,156792
2018-05-13_17-11-51.110686182,1526224311.112564629,38.295883,2018-05-13_17-12-21.351458021,1526224341.353350663,1.00,0.99,0.95,231862,268970,1592,564,551,528,0,0,0,0,579439,0,3874,5206474,2418,0,9,0,0,0,32804244,31809000,31690188,2116,156800
2018-05-13_17-12-21.397875100,1526224341.399725743,38.295883,2018-05-13_17-12-51.638133497,1526224371.639998469,1.00,0.99,0.95,232760,269996,1600,564,552,528,0,0,0,0,582463,0,3879,5227671,2418,0,9,0,0,0,32804244,31807700,31690548,2116,156800
2018-05-13_17-12-51.684424338,1526224371.686305454,38.295882,2018-05-13_17-13-21.925028634,1526224401.926917327,1.00,0.99,0.95,233952,271380,1608,564,552,528,0,0,0,0,585490,0,3887,5248863,2418,0,9,0,0,0,32804244,31808104,31690136,2116,156804
2018-05-13_17-13-21.971511386,1526224401.973368601,38.295881,2018-05-13_17-13-52.212030248,1526224432.213949689,1.00,0.99,0.95,235144,272764,1615,564,554,528,0,0,0,0,588516,0,3894,5270056,2418,0,9,0,0,0,32804244,31808360,31690392,2116,156804
2018-05-13_17-13-52.258511949,1526224432.260382353,38.295880,2018-05-13_17-14-22.499029740,1526224462.500906503,1.00,0.99,0.95,236336,274148,1623,564,554,528,0,0,0,0,591541,0,3900,5291252,2418,0,9,0,0,0,32804244,31808328,31690044,2116,156808
2018-05-13_17-14-22.545439743,1526224462.547301958,38.295883,2018-05-13_17-14-52.785997945,1526224492.787900109,1.00,0.99,0.95,237528,275532,1631,564,554,528,0,0,0,0,594567,0,3907,5312445,2418,0,9,0,0,0,32804244,31808316,31690336,2116,156812
2018-05-13_17-14-52.832346148,1526224492.834186343,38.295875,2018-05-13_17-15-23.072694836,1526224523.074563545,1.00,0.99,0.95,238720,276916,1638,564,555,528,0,0,0,0,597593,0,3913,5333640,2418,0,9,0,0,0,32804244,31821008,31703296,2116,156808
2018-05-13_17-15-23.119118421,1526224523.120973721,38.295881,2018-05-13_17-15-53.359467151,1526224553.361498417,1.00,0.99,0.95,240206,278658,1646,564,555,528,0,0,0,0,600616,0,3919,5354838,2418,0,9,0,0,0,32804244,31820452,31702524,2116,156808
2018-05-13_17-15-53.405839360,1526224553.407689695,38.295874,2018-05-13_17-16-23.646103170,1526224583.647970457,1.00,0.99,0.95,241104,279684,1653,564,555,530,0,0,0,0,603640,0,3924,5376034,2418,0,9,0,0,0,32804244,31820748,31703008,2116,156808
2018-05-13_17-16-23.692404128,1526224583.694257122,38.295872,2018-05-13_17-16-53.932892525,1526224613.934761971,1.00,0.99,0.95,242296,281068,1676,564,556,530,0,0,0,0,606664,0,3929,5397232,2418,0,9,0,0,0,32804244,31820720,31703020,2116,156808
2018-05-13_17-16-53.979105798,1526224613.980972788,38.295883,2018-05-13_17-17-24.219475538,1526224644.221415998,1.00,0.99,0.95,243488,282452,1700,564,556,530,0,0,0,0,609688,0,3935,5418429,2418,0,9,0,0,0,32804244,31820452,31702488,2116,156808
2018-05-13_17-17-24.265762993,1526224644.267607629,38.295882,2018-05-13_17-17-54.505946913,1526224674.507852834,1.00,0.99,0.95,244680,283836,1725,564,556,530,0,0,0,0,612712,0,3939,5439627,2418,0,9,0,0,0,32804244,31820372,31702444,2116,156808
2018-05-13_17-17-54.552190124,1526224674.554037004,38.295883,2018-05-13_17-18-24.792468245,1526224704.794335091,1.08,1.00,0.96,245872,285220,1749,564,556,530,0,0,0,0,615736,0,3946,5460823,2418,0,9,0,0,0,32804244,31819880,31702644,2116,156808
2018-05-13_17-18-24.838906280,1526224704.840754153,38.295884,2018-05-13_17-18-55.079222574,1526224735.081099775,1.05,1.00,0.96,247064,286604,1757,564,556,530,0,0,0,0,618760,0,3951,5482021,2418,0,9,0,0,0,32804244,31820236,31702236,2116,156808
2018-05-13_17-18-55.125508634,1526224735.127368916,38.295883,2018-05-13_17-19-25.365630877,1526224765.367491528,1.03,1.00,0.96,248256,287988,1766,564,556,530,0,0,0,0,621784,0,3957,5503217,2418,0,9,0,0,0,32804244,31820256,31702784,2116,156808
2018-05-13_17-19-25.411887112,1526224765.413724154,38.295884,2018-05-13_17-19-55.652381086,1526224795.654243722,1.02,1.00,0.96,249448,289372,1774,564,556,530,0,0,0,0,624807,0,3962,5524416,2418,0,9,0,0,0,32804244,31820248,31702296,2116,156808
2018-05-13_17-19-55.698643749,1526224795.700519438,38.295883,2018-05-13_17-20-25.939051391,1526224825.940929671,1.07,1.02,0.97,250640,290756,1783,564,556,530,0,0,0,0,627835,0,3970,5545606,2418,0,9,0,0,0,32804244,31808660,31690692,2116,156824
2018-05-13_17-20-25.985479274,1526224825.987314777,38.295881,2018-05-13_17-20-56.225985920,1526224856.227894567,1.04,1.01,0.97,251832,292140,1787,564,576,530,0,0,0,0,630859,0,3974,5566803,2418,0,9,0,0,0,32804244,31808124,31690724,2116,156824
2018-05-13_17-20-56.272461661,1526224856.274320408,38.295883,2018-05-13_17-21-26.513013240,1526224886.514892879,1.07,1.03,0.97,253024,293524,1791,564,597,530,0,0,0,0,633886,0,3982,5587995,2418,0,9,0,0,0,32804244,31808300,31690236,2116,156828
